Year	Count	Proportion
2021	18935	6.304
2020	21294	7.089
2019	20806	6.927
2018	18107	6.028
2017	16904	5.628
2016	16133	5.371
2015	15026	5.003
2014	13678	4.554
2013	12568	4.184
2012	11882	3.956
2011	10864	3.617
2010	9996	3.328
2009	10401	3.463
2008	9649	3.212
2007	8518	2.836
2006	7616	2.536
2005	7201	2.397
2004	6823	2.272
2003	6624	2.205
2002	6626	2.206
2001	6112	2.035
2000	6328	2.107
1999	3872	1.289
1998	4102	1.366
1997	3673	1.223
1996	3382	1.126
1995	2348	0.782
1994	2389	0.795
1993	2101	0.699
1992	1711	0.570
1991	1691	0.563
1990	1657	0.552
1989	1377	0.458
1988	1087	0.362
1987	1032	0.344
1986	937	0.312
1985	787	0.262
1984	610	0.203
1983	471	0.157
1982	493	0.164
1981	428	0.142
1980	501	0.167
1979	423	0.141
1978	393	0.131
1977	424	0.141
1976	482	0.160
1975	428	0.142
1974	332	0.111
1973	326	0.109
1972	310	0.103
1971	238	0.079
1970	79	0.026
1969	28	0.009
1800	178	0.059
