Year	Count	Proportion
2021	1160	7.830
2020	1339	9.039
2019	1286	8.681
2018	1042	7.034
2017	1001	6.757
2016	917	6.190
2015	820	5.535
2014	748	5.049
2013	663	4.475
2012	581	3.922
2011	557	3.760
2010	473	3.193
2009	506	3.416
2008	402	2.714
2007	388	2.619
2006	335	2.261
2005	299	2.018
2004	302	2.039
2003	283	1.910
2002	272	1.836
2001	269	1.816
2000	209	1.411
1999	136	0.918
1998	106	0.716
1997	145	0.979
1996	110	0.743
1995	77	0.520
1994	68	0.459
1993	62	0.419
1992	49	0.331
1991	34	0.230
1990	33	0.223
1989	21	0.142
1988	6	0.041
1987	22	0.149
1986	9	0.061
1985	7	0.047
1984	13	0.088
1983	11	0.074
1982	8	0.054
1981	2	0.014
1980	4	0.027
1979	4	0.027
1978	5	0.034
1977	5	0.034
1976	5	0.034
1975	3	0.020
1974	1	0.007
1973	1	0.007
1972	3	0.020
1800	14	0.095
